Name,Status,District,Temperature - celcius,Precipitation (mm),Humidity (%),Approx. NDVI Value,Soil Moisture (%),Cloud Cover (%),Dew Point (°F),Evapotranspiration (mm/day),Solar Radiation (W/m²)
Kattivakkam,23-30%,Kanniyakumari,30,1120,79,0.65,23,65,65,4.3,590
Kattiganapalli (Kathujuganapalli),Census Town,Krishnagiri,30,880,80,0.59,25,55,67,4.2,605
Kattimancode,Census Town,Kanniyakumari,30,920,81,0.60,28,50,66,4.0,595
Kattivakkam (Kathivakkam),Municipality,Thiruvallur,30,990,76,0.66,30,52,65,4.2,610
Kattumannarkoil,Town Panchayat,Cuddalore,30,1180,78,0.65,22,60,66,4.2,620
Kattupakkam,Census Town,Thiruvallur,30,870,80,0.66,24,65,65,4.1,615
Kattuputhur,Town Panchayat,Tiruchirappalli,30,1020,79,0.63,26,55,66,4.2,605
Kaveripakkam,Town Panchayat,Vellore,30,1050,77,0.60,27,50,67,4.3,610
Kaveripattinam,Town Panchayat,Krishnagiri,30,1110,75,0.62,23,52,65,4.0,620
Kayalpattinam,Municipality,Thoothukkudi,30,1370,78,0.58,29,40,60,4.2,590
Kayatharu,Town Panchayat,Thoothukkudi,30,980,80,0.65,20,45,66,4.1,600
Keelakarai (Kilakarai),Municipality,Ramanathapuram,30,1230,82,0.60,26,50,65,4.0,590
Keelamanjakudi,Census Town,Pudukkottai,30,950,79,0.62,22,35,66,4.2,600
Keeramangalam,Town Panchayat,Pudukkottai,30,1010,81,0.63,28,50,67,4.1,615
Keeranur,Town Panchayat,Dindigul,30,970,77,0.65,25,45,70,4.2,620
Keeranur,Town Panchayat,Pudukkottai,30,960,78,0.60,24,50,67,4.3,600
Keeripatti,Town Panchayat,Salem,30,910,79,0.58,27,60,66,4.0,590
Keezhkulam (Kilkulam),Town Panchayat,Kanniyakumari,30,1200,76,0.70,29,40,70,4.1,620
Kelamangalam,Town Panchayat,Krishnagiri,30,1070,80,0.62,21,55,67,4.2,570
Kembainaickenpalayam,Town Panchayat,Erode,30,930,74,0.59,30,30,66,4.3,610
Kethi (Ketti),Town Panchayat,The Nilgiris,28,1290,75,0.63,23,55,65,4.1,600
Kila Ambur,Census Town,Tirunelveli,30,940,73,0.65,22,50,66,4.0,580
Kilampadi,Town Panchayat,Erode,30,880,76,0.61,28,50,65,4.3,590
Kilapavoor (Keezhapavur),Town Panchayat,Tirunelveli,30,990,78,0.64,25,40,67,4.2,585
Kilkunda,Town Panchayat,The Nilgiris,30,1340,80,0.60,20,55,65,4.4,600
Killai,Town Panchayat,Cuddalore,30,870,79,0.57,26,60,67,4.2,615
Killiyoor (Killiyur),Town Panchayat,Kanniyakumari,30,1230,78,0.59,30,40,70,4.1,605
Kilmanavur,Census Town,Vellore,30,910,81,0.68,22,50,66,4.3,610
Kilpennathur (Kizh-Pennathur),Town Panchayat,Tiruvannamalai,30,1040,75,0.62,29,45,67,4.2,630
Kilpudupakkam,Census Town,Tiruvannamalai,30,960,77,0.63,24,55,66,4.4,560
Kilvaithinankuppam,Census Town,Vellore,30,870,76,0.64,26,50,65,4.1,605
Kilvelur,Town Panchayat,Nagapattinam,30,1080,74,0.67,27,45,67,4.3,615
Kinathukadavu,Town Panchayat,Coimbatore,30,1120,78,0.62,23,40,68,4.0,600
K.Madapur,Census Town,Coimbatore,30,970,75,0.65,30,80,66,4.2,610
Kodaikanal,Municipality,Dindigul,20,1450,79,0.61,20,55,70,4.1,590
Kodavasal (Kudavasal),Town Panchayat,Thiruvarur,30,1230,80,0.66,25,50,66,4.2,615
Kodivalasa,Census Town,Thiruvallur,30,1040,81,0.58,27,50,65,4.3,620
Kodumudi,Town Panchayat,Erode,30,1020,76,0.60,29,40,66,4.4,630
Koilambakkam,Census Town,Kanchipuram,30,950,78,0.61,21,40,67,4.3,600
Koilpalayam,Census Town,Coimbatore,30,970,79,0.63,22,45,66,4.1,590
Kolappalur,Town Panchayat,Erode,30,980,75,0.62,26,50,67,4.0,615
Kolathupalayam,Town Panchayat,Tiruppur,30,1030,77,0.59,30,55,65,4.2,600
Kolathur,Town Panchayat,Salem,30,890,78,0.66,24,50,60,4.3,580
Kollancode (Kollankodu),Town Panchayat,Kanniyakumari,30,1320,80,0.60,28,60,66,4.0,630
Kollankoil,Town Panchayat,Erode,30,1180,79,0.62,29,55,67,4.1,620
Komaralingam,Town Panchayat,Tiruppur,30,910,77,0.63,27,50,65,4.2,630
Kombai,Town Panchayat,Theni,30,1050,78,0.59,21,45,67,4.3,610
Konavattam,Census Town,Vellore,30,1000,76,0.57,23,40,66,4.1,590
Kondalampatti,Census Town,Salem,30,980,78,0.60,26,50,65,4.1,600
Kondappanaickenpatti,Census Town,Salem,30,940,79,0.67,29,55,66,4.2,620
Kondasamudram,Census Town,Vellore,30,920,75,0.55,22,50,67,4.3,615
Kondichettipatti,Census Town,Namakkal,30,970,77,0.62,24,45,70,4.0,610
Kondur,Census Town,Cuddalore,30,950,78,0.73,28,50,66,4.2,620
Konerikuppam,Census Town,Kanchipuram,30,960,79,0.50,25,40,65,4.3,630
Konganapuram,Town Panchayat,Salem,30,1080,80,0.57,30,45,66,4.1,600
Kooraikundu,Census Town,Virudhunagar,30,1030,81,0.61,21,50,67,4.3,640
Koothappar,Town Panchayat,Tiruchirappalli,30,990,78,0.66,27,55,65,4.2,615
Koradacheri,Town Panchayat,Thiruvarur,30,870,79,0.63,29,50,66,4.0,610
Kosavampatti,Census Town,Namakkal,30,890,80,0.58,23,45,65,4.1,615
Kotagiri,Town Panchayat,The Nilgiris,18,1420,78,0.62,20,70,67,4.2,620
Kothanallur (Kothinallur),Town Panchayat,Kanniyakumari,30,960,75,0.64,26,55,66,4.3,630
Kottagoundampatty,Census Town,Salem,30,940,76,0.56,28,50,67,4.4,530
Kottaiyur,Town Panchayat,Sivaganga,30,970,78,0.68,24,55,66,4.1,535
Kottakuppam,Town Panchayat,Viluppuram,30,990,79,0.62,30,50,65,4.2,540
Kottaram,Town Panchayat,Kanniyakumari,30,1100,80,0.65,22,60,67,4.2,545
Kottivakkam,Census Town,Kanchipuram,30,1010,77,0.65,29,45,68,4.2,530
Kottur,Town Panchayat,Coimbatore,30,890,76,0.59,25,50,66,4.3,520
Kovalam (Covelong),Census Town,Kanchipuram,28,1150,79,0.60,27,55,70,4.4,550
Kovilpatti,Municipality,Thoothukkudi,30,1080,80,0.66,20,50,66,4.2,540
Kovur,Census Town,Kanchipuram,30,930,78,0.65,28,45,65,4.3,560
Krishnagiri,Municipality,Krishnagiri,30,1200,75,0.66,30,55,66,4.1,535
Krishnarayapuram,Town Panchayat,Karur,30,1040,74,0.63,24,50,67,4.3,530
Krishnasamudram,Census Town,Tiruchirappalli,30,970,76,0.60,26,55,66,4.0,545
Kuchanur,Town Panchayat,Theni,30,870,78,0.62,29,50,67,4.5,540
Kuhalur,Town Panchayat,Erode,30,880,79,0.58,21,45,65,4.2,560
Kulappuram,Census Town,Kanniyakumari,30,930,78,0.65,23,50,60,4.1,530
Kulasekaram (Kulasekarapuram),Town Panchayat,Kanniyakumari,30,1270,80,0.60,27,55,66,4.0,550
Kulathur (Kulathoor),Census Town,Tiruchirappalli,30,950,81,0.62,25,50,67,4.1,520
Kulithalai,Municipality,Karur,30,1010,79,0.63,30,45,65,4.2,535
Kullursandai,Census Town,Virudhunagar,30,970,78,0.65,28,45,67,4.1,530
Kumaragiri,Census Town,Thoothukkudi,30,890,76,0.60,25,50,66,4.1,540
Kumarapalayam (Komarapalayam),Municipality,Namakkal,30,1040,78,0.58,29,55,65,4.3,545
Kumarapuram,Town Panchayat,Kanniyakumari,30,1120,80,0.70,22,50,66,4.2,560
Kumbakonam,Municipality,Thanjavur,30,1270,79,0.62,30,60,67,4.0,550
Kundrathur,Town Panchayat with Outgrowth,Kanchipuram,30,980,77,0.59,24,55,70,4.2,530
Kuniyamuthur,Municipality,Coimbatore,30,1020,75,0.63,27,50,66,4.2,520
Kunnathur,Town Panchayat,Tiruppur,30,970,78,0.65,23,45,65,4.1,535
Kurichi,Municipality,Coimbatore,30,1050,80,0.61,26,50,66,4.2,550
Kurinjipadi,Town Panchayat,Cuddalore,30,990,82,0.64,28,55,67,4.3,520
Kurudampalayam,Census Town,Coimbatore,30,960,79,0.60,21,50,65,4.0,530
Kurukkupatti,Census Town,Salem,30,870,81,0.57,29,45,66,4.2,530
Kurumbalur,Town Panchayat,Perambalur,30,1030,77,0.59,25,50,65,4.1,535
Kurumbapatti,Census Town,Dindigul,30,940,78,0.68,22,55,67,4.0,540
Kuruppanaickenpalayam,Census Town,Erode,30,890,79,0.62,27,50,66,4.2,545
Kuthalam,Town Panchayat,Nagapattinam,30,1180,76,0.63,30,45,64,4.1,530
Kuthanallur,Municipality,Thiruvarur,30,920,80,0.64,24,50,64,4.2,520
Kuthankuzhi,Census Town,Tirunelveli,30,970,74,0.67,20,55,63,4.3,550
Kuzhithurai,Municipality,Kanniyakumari,30,1350,75,0.62,26,60,64,4.0,540
Labbaikudikadu,Town Panchayat,Perambalur,30,990,73,0.65,29,50,63,4.1,560
Lakkampatti,Town Panchayat,Erode,30,980,76,0.61,23,45,64,4.2,535
Lakkiampatti,Census Town,Dharmapuri,30,910,78,0.66,27,50,63,4.3,530
Lakshminarayanapuram,Census Town,Cuddalore,30,970,80,0.58,25,55,64,4.1,545
Lalgudi,Town Panchayat,Tiruchirappalli,30,1100,79,0.60,28,50,61,4.0,540
Lalpet,Town Panchayat,Cuddalore,30,1080,78,0.61,22,45,63,4.3,560
Madaharpakkam,Census Town,Thiruvallur,30,1050,81,0.63,30,50,64,4.2,530
Madambakkam,Town Panchayat,Kanchipuram,30,980,75,0.62,26,55,63,4.4,550
Madambakkam (in: Sriperumbudur subdistrict),Census Town,Kanchipuram,30,970,77,0.59,21,50,64,4.2,520
Madathukulam,Town Panchayat,Tiruppur,30,940,76,0.66,29,45,63,4.1,535
Madavaram (Madhavaram),Municipality,Thiruvallur,30,1120,74,0.60,25,50,63,4.3,530
Madippakkam (Madipakkam),Census Town,Kanchipuram,30,1020,78,0.58,22,55,64,4.2,540
Madukkarai,Town Panchayat,Coimbatore,30,990,75,0.55,28,50,64,4.4,545
Madukkur,Town Panchayat,Thanjavur,30,1080,79,0.63,24,45,63,4.1,560
Madurai,Municipal Corporation,Madurai,30,1320,80,0.65,30,60,64,4.3,550
Maduranthakam,Municipality,Kanchipuram,30,1050,81,0.58,27,55,63,4.0,530
Maduravoyal,Municipality,Thiruvallur,30,910,76,0.72,23,50,64,4.2,520
Majaragollappatti,Census Town,Salem,30,930,78,0.60,26,45,63,4.1,535
Makkinampatti,Census Town,Coimbatore,30,970,79,0.65,29,50,63,4.2,550
Malayadi,Census Town,Kanniyakumari,30,1180,76,0.55,21,55,61,4.3,520
Mallamooppampatti,Census Town,Salem,30,940,78,0.62,25,50,64,4.4,530
Mallankinaru,Town Panchayat,Virudhunagar,30,980,80,0.60,30,45,64,4.3,530
Mallasamudram,Town Panchayat,Namakkal,30,1030,79,0.66,24,50,66,4.1,535
Mallur,Town Panchayat,Salem,30,1060,77,0.68,28,55,63,4.0,540
Malumichampatti,Census Town,Coimbatore,30,1020,75,0.64,22,50,64,4.2,545
Mamallapuram (Mahabalipuram),Town Panchayat,Kanchipuram,30,1340,78,0.62,29,60,63,4.3,530
Mamsapuram,Town Panchayat,Virudhunagar,30,980,80,0.63,25,50,61,4.0,520
Manachanallur,Town Panchayat,Tiruchirappalli,30,1040,82,0.59,27,45,64,4.1,550
Manakudi,Census Town,Kanniyakumari,30,1190,79,0.57,30,50,63,4.2,540
Manali,Municipality,Thiruvallur,30,1100,81,0.60,22,55,63,4.3,560
Manalmedu,Town Panchayat,Nagapattinam,30,990,77,0.67,26,50,61,4.1,535
Manalurpet,Town Panchayat,Viluppuram,30,970,78,0.55,29,50,64,4.1,530
Manamadurai,Town Panchayat,Sivaganga,30,1010,79,0.62,24,55,64,4.2,545
Manapakkam,Census Town,Kanchipuram,30,1020,76,0.73,28,50,63,4.3,540
Manapparai,Municipality,Tiruchirappalli,30,1080,80,0.50,21,45,63,4.0,560
Manavalakurichi,Town Panchayat,Kanniyakumari,30,1270,74,0.57,30,60,64,4.2,530
Mancad,Census Town,Kanniyakumari,30,920,75,0.61,27,50,63,4.3,550
Mandaikadu,Town Panchayat,Kanniyakumari,30,1130,73,0.66,23,55,63,4.1,520
Mandapam,Town Panchayat,Ramanathapuram,30,1350,76,0.63,25,60,64,4.3,535
Mangadu,Town Panchayat,Kanchipuram,30,1010,78,0.58,29,50,63,4.2,530
Mangalam,Census Town,Tiruppur,30,990,80,0.62,21,45,64,4.0,540
Mangalampet,Town Panchayat,Cuddalore,30,980,79,0.64,26,50,63,4.1,545
Manickapuram,Census Town,Tiruppur,30,970,78,0.56,22,55,61,4.2,560
Manimutharu,Town Panchayat,Tirunelveli,30,1320,81,0.68,28,50,66,4.3,550
Manjakollai,Census Town,Nagapattinam,30,940,75,0.62,30,45,63,4.4,530
Manjalumoodu,Census Town,Kanniyakumari,30,1250,77,0.65,24,50,61,4.1,520
Mannarai,Census Town,Tiruppur,30,1040,76,0.65,29,55,64,4.2,535
Mannargudi,Municipality,Thiruvarur,30,1260,74,0.59,25,50,63,4.2,550
Manthithoppu,Census Town,Thoothukkudi,30,970,78,0.60,22,45,64,4.2,520
Mappilaiurani,Census Town,Thoothukkudi,30,990,75,0.66,28,50,66,4.3,530
Maraimalainagar,Municipality,Kanchipuram,30,1020,79,0.65,30,55,61,4.4,540
Marakkanam,Town Panchayat,Viluppuram,30,1120,80,0.66,26,50,63,4.2,550
Maramangalathupatti,Census Town,Salem,30,970,81,0.63,21,45,64,4.3,530
Marandahalli,Town Panchayat,Dharmapuri,30,1090,76,0.60,25,50,63,4.1,535
Markayankottai,Town Panchayat,Theni,30,970,78,0.62,28,55,63,4.3,520
Marudur,Town Panchayat,Karur,30,1050,79,0.58,24,50,64,4.0,530
Marungur (Marungoor),Town Panchayat,Kanniyakumari,30,1030,76,0.65,30,45,63,4.5,540
Maruthancode,Census Town,Kanniyakumari,30,1170,78,0.60,27,50,64,4.2,535
Masinaickenpatty,Census Town,Salem,30,920,80,0.62,23,55,64,4.1,530
Mathicode,Census Town,Kanniyakumari,30,1230,79,0.63,26,50,64,4.0,545
Mathigiri,Town Panchayat,Krishnagiri,30,980,77,0.65,29,45,63,4.1,530
Mathur,Census Town,Thiruvallur,30,970,75,0.60,22,50,63,4.2,540
Mayiladuthurai,Municipality,Nagapattinam,30,1290,78,0.58,30,55,64,4.1,550
Mecheri,Town Panchayat,Salem,30,1010,80,0.70,24,50,63,4.1,545
Medavakkam,Census Town,Kanchipuram,30,1000,82,0.62,27,45,64,4.3,530
Meenambakkam,Town Panchayat with Outgrowth,Kanchipuram,30,1120,79,0.59,23,50,66,4.2,550
Melacheval,Town Panchayat,Tirunelveli,30,970,81,0.63,26,55,64,4.0,535
Melachokkanathapuram,Town Panchayat,Theni,30,940,77,0.65,28,50,63,4.2,540
Melagaram,Town Panchayat,Tirunelveli,30,970,78,0.61,30,45,64,4.2,545
Melamadai,Census Town,Madurai,30,980,79,0.64,22,50,61,4.1,550
Melaparthibanur,Census Town,Ramanathapuram,30,890,76,0.60,27,55,63,4.2,545
Melathiruppanthuruthi,Town Panchayat,Thanjavur,30,1030,80,0.57,25,50,64,4.3,545
Melattur,Town Panchayat,Thanjavur,30,980,74,0.59,28,45,61,4.0,530
Melpattampakkam,Town Panchayat,Cuddalore,30,970,75,0.68,23,50,63,4.2,520
Melur,Municipality,Madurai,30,1020,73,0.62,30,55,64,4.1,535
Melvisharam,Municipality,Vellore,30,990,76,0.63,24,50,63,4.0,530
Methukummal,Census Town,Kanniyakumari,30,1240,78,0.64,29,45,63,4.2,540
Mettamalai,Census Town,Virudhunagar,30,970,80,0.67,21,50,64,4.1,530
Mettunasuvanpalayam,Census Town,Erode,30,930,79,0.62,25,55,61,4.2,530
Mettupalayam,Municipality,Coimbatore,30,1150,78,0.65,27,50,63,4.3,545
Mettupalayam,Town Panchayat,Tiruchirappalli,30,1150,81,0.61,30,50,63,4.0,535
Mettur,Municipality,Salem,33,1120,75,0.66,25,55,61,4.1,540
Mevalurkuppam,Census Town,Kanchipuram,32,970,77,0.58,28,50,64,4.2,545
Midalam,Census Town,Kanniyakumari,32,1350,76,0.60,22,45,63,4.3,545
Milavittan,Census Town,Thoothukkudi,33,1180,74,0.61,30,50,63,4.1,530
Minampalli-Pachamadevi,Census Town,Karur,32,1020,78,0.63,26,55,63,4.0,550
Minjur,Town Panchayat,Thiruvallur,34,1100,75,0.62,29,50,64,4.3,520
Modakurichi,Town Panchayat,Erode,33,970,79,0.59,21,45,63,4.2,535
Mohanur,Town Panchayat,Namakkal,33,1040,80,0.66,27,50,61,4.4,530
Molachur,Census Town,Kanchipuram,32,940,81,0.60,23,55,64,4.2,540
Mookondapalli,Census Town,Krishnagiri,33,1010,76,0.61,28,50,17,4.1,545
Moolakaraipatti,Town Panchayat,Tirunelveli,32,1050,78,0.65,24,50,66,4.3,530
Moovarasampettai,Census Town,Kanchipuram,32,990,79,0.55,29,55,67,4.2,550
Mopperipalayam,Town Panchayat,Coimbatore,33,960,76,0.60,22,50,65,4.4,530
Morattupalayam,Census Town,Tiruppur,33,980,78,0.56,30,45,67,4.1,540
Mudukulathur,Town Panchayat,Ramanathapuram,33,1130,80,0.63,25,50,66,4.3,545
Mugalivakkam,Census Town,Kanchipuram,33,980,79,0.61,28,55,65,4.0,530
Mukasipidariyur,Census Town,Erode,32,930,77,0.62,21,50,66,4.2,540
Mukkudal,Town Panchayat,Tirunelveli,32,1260,75,0.63,27,45,67,4.1,545
Mulagumudu,Town Panchayat,Kanniyakumari,32,1190,78,0.58,22,50,70,4.2,540
Mulanur,Town Panchayat,Tiruppur,33,970,80,0.55,29,55,66,4.3,550
Mullipattu,Census Town,Tiruvannamalai,32,940,82,0.63,24,50,65,4.4,530
Muruganpalayam,Census Town,Tiruppur,33,1020,79,0.65,26,45,66,4.3,535
Musiri,Town Panchayat,Tiruchirappalli,33,1110,81,0.58,30,50,67,4.1,540
Muthanampalayam,Census Town,Tiruppur,32,980,77,0.72,23,55,65,4.0,545
Muthugoundam Pudur,Census Town,Coimbatore,32,920,78,0.60,27,50,66,4.2,530
Muthukadu,Census Town,Kanchipuram,32,1340,79,0.65,21,45,65,4.3,520
Muthupet,Town Panchayat,Thiruvarur,31,1380,76,0.55,29,50,67,4.0,550
Muthur,Town Panchayat,Tiruppur,33,1050,80,0.62,25,55,66,4.1,540
Muttayyapuram,Census Town,Thoothukkudi,32,970,74,0.60,28,50,64,4.2,560
Muzhucode,Census Town,Kanniyakumari,31,1250,75,0.66,22,45,64,4.3,535
Mylaudy (Myladi),Town Panchayat,Kanniyakumari,32,1320,73,0.68,30,50,63,4.1,530
Nadaikavu,Census Town,Kanniyakumari,32,1180,76,0.64,26,55,64,4.1,545
Nadukuthagai,Census Town,Thiruvallur,33,940,78,0.62,21,50,63,4.2,540
Naduvaneri,Census Town,Salem,32,970,80,0.63,27,45,64,4.3,560
Naduvattam,Town Panchayat,The Nilgiris,33,1230,79,0.59,24,50,63,4.0,530
Nagamalaipudukottai,Census Town,Madurai,32,1010,78,0.57,28,55,64,4.2,550
Nagamangalam,Census Town,Tiruchirappalli,33,980,81,0.60,30,50,64,4.3,520
Nagapattinam,Municipality,Nagapattinam,31,1370,75,0.67,25,45,64,4.1,535
Nagavakulam,Census Town,Madurai,30,940,77,0.55,22,50,63,4.3,530
Nagercoil,Municipality,Kanniyakumari,32,1400,76,0.62,29,55,64,4.2,540
Nagojanahalli,Town Panchayat,Krishnagiri,33,970,74,0.73,21,50,63,4.0,545
Nallampatti,Town Panchayat,Erode,33,980,78,0.50,26,45,64,4.1,560
Nallipalayam,Census Town,Namakkal,33,1020,75,0.57,30,50,63,4.2,550
Nalloor (Nallur),Town Panchayat,Kanniyakumari,32,1010,79,0.61,27,55,64,4.3,530
Nallur,Census Town,Tirunelveli,33,1010,80,0.66,23,50,61,4.4,520
Nallur $,Census Town,Thiruvallur,33,1060,81,0.63,28,45,63,4.1,535
Namagiripettai,Town Panchayat,Namakkal,32,1150,76,0.58,25,50,64,4.2,550
Namakkal,Municipality,Namakkal,33,1040,78,0.62,29,55,63,4.2,520
Nambiyur,Town Panchayat,Erode,32,970,79,0.64,21,50,64,4.2,530
Nandambakkam,Town Panchayat,Kanchipuram,33,1020,72,0.56,30,50,63,4.3,540
Nandivaram - Guduvancheri,Town Panchayat,Kanchipuram,32,1010,76,0.68,24,55,63,4.4,550
Nangavalli,Town Panchayat,Salem,32,980,78,0.62,28,50,64,4.2,530
Nangavaram,Town Panchayat,Karur,31,1200,80,0.65,22,45,64,4.3,530
Nanguneri,Town Panchayat,Tirunelveli,33,1030,79,0.65,27,50,63,4.1,535
Nanjikottai,Census Town,Thanjavur,32,1280,77,0.59,29,55,64,4.3,550
Nannilam,Town Panchayat,Thiruvarur,33,970,75,0.60,25,50,63,4.0,520
Naranammalpuram,Town Panchayat,Tirunelveli,33,980,78,0.66,21,45,64,4.5,540
Naranapuram,Census Town,Virudhunagar,33,1040,80,0.65,30,50,63,4.2,545
Narasimhanaicken-palayam,Town Panchayat,Coimbatore,32,970,82,0.66,24,55,63,4.1,530
Narasingam,Census Town,Madurai,33,1020,79,0.63,28,50,61,4.0,545
Narasingapuram,Census Town,Vellore,32,1030,81,0.60,22,45,64,4.1,535
Narasingapuram,Municipality,Salem,33,1010,77,0.62,27,50,64,4.2,520
Naravarikuppam,Town Panchayat,Thiruvallur,32,1150,78,0.58,29,55,66,4.1,530
Nasiyanur,Town Panchayat,Erode,32,1080,79,0.65,25,50,63,4.1,545
Natchiarkoil,Census Town,Thanjavur,33,970,76,0.60,30,45,64,4.3,535
Natham,Town Panchayat,Dindigul,32,990,80,0.62,22,50,63,4.2,540
Nathampannai,Census Town,Pudukkottai,33,1320,74,0.63,28,55,61,4.0,520
Natrampalli,Town Panchayat,Vellore,32,980,75,0.65,24,50,64,4.2,535
Nattalam,Census Town,Kanniyakumari,33,1050,73,0.60,27,45,63,4.2,580
Nattapettai,Census Town,Kanchipuram,32,980,76,0.58,21,50,63,4.1,575
Nattarasankottai,Town Panchayat,Sivaganga,31,970,78,0.70,29,55,61,4.2,590
Navalpattu,Census Town,Tiruchirappalli,32,1010,80,0.62,25,50,64,4.3,600
Navlock Garden,Census Town,Vellore,32,1100,79,0.59,30,45,64,4.0,570
Nazarathpettai,Census Town,Thiruvallur,33,1020,78,0.63,28,50,63,4.2,540
Nazerath,Town Panchayat,Thoothukkudi,32,1280,81,0.65,22,55,63,4.1,550
Nedungundram,Census Town,Kanchipuram,31,1010,75,0.61,27,50,64,4.0,530
Needamangalam,Town Panchayat,Thiruvarur,32,970,77,0.64,24,45,63,4.2,535
Neelagiri,Census Town,Thanjavur,33,1150,76,0.60,30,50,63,4.1,520
Neelambur,Census Town,Coimbatore,32,1020,74,0.57,21,55,64,4.2,530
Neelankarai,Census Town,Kanchipuram,32,1130,78,0.59,29,50,63,4.3,540
Neikkarapatti,Town Panchayat,Dindigul,33,980,75,0.68,25,45,64,4.0,535
Nellikuppam,Municipality,Cuddalore,31,970,79,0.62,28,50,63,4.1,530
Nelliyalam,Municipality,The Nilgiris,32,1010,80,0.63,22,55,61,4.2,545
Nemili,Town Panchayat,Vellore,33,1020,81,0.64,27,50,66,4.3,530
Nemilicheri,Census Town,Thiruvallur,32,1010,76,0.67,24,45,63,4.1,540
Neripperichal,Census Town,Tiruppur,33,980,78,0.62,30,50,61,4.0,550
Nerkunram (Nerkundram),Census Town,Thiruvallur,32,990,79,0.65,21,55,64,4.3,545
Nerkuppai,Town Panchayat,Sivaganga,32,970,76,0.61,29,50,63,4.2,530
Nerunjipettai,Town Panchayat,Erode,33,1250,78,0.66,25,45,64,4.4,550
Neykkarappatti,Census Town,Salem,31,1340,80,0.58,30,50,66,4.2,535
Neyveli,Township,Cuddalore,32,980,79,0.60,22,55,61,4.1,540
Neyyoor,Town Panchayat,Kanniyakumari,33,1060,77,0.61,28,50,63,4.3,545
Nilaiyur I Bit,Census Town,Madurai,32,970,75,0.63,24,45,64,4.2,550
Nilakkottai,Town Panchayat,Dindigul,33,1180,78,0.62,27,50,63,4.4,545
Nolambur,Census Town,Thiruvallur,31,940,80,0.59,29,55,63,4.1,545
Nullivilai,Census Town,Kanniyakumari,32,1020,82,0.66,21,50,64,4.3,530
Odaipatti,Town Panchayat,Theni,33,1120,79,0.60,25,45,63,4.0,520
Odaiyakulam,Town Panchayat,Coimbatore,32,980,81,0.61,30,50,64,4.2,535
Oddanchatram,Town Panchayat,Dindigul,31,1240,77,0.65,24,55,64,4.1,530
Odugathur,Town Panchayat,Vellore,32,980,78,0.55,27,50,64,4.2,540
Oggiyamduraipakkam,Census Town,Kanchipuram,33,1200,79,0.60,28,45,63,4.3,530
Olagadam,Town Panchayat,Erode,33,1050,76,0.56,22,50,63,4.4,530
Omalur,Town Panchayat,Salem,32,1070,80,0.63,30,55,64,4.3,545
Orathanadu (Mukthambalpuram),Town Panchayat,Thanjavur,33,1250,74,0.61,25,50,63,4.1,535
Orikkai,Census Town,Kanchipuram,32,1180,75,0.62,27,45,64,4.0,540
Othakadai,Census Town,Madurai,33,1120,73,0.63,29,50,66,4.2,545
Othakalmandapam,Town Panchayat,Coimbatore,32,1020,76,0.58,24,55,64,4.3,545
Ottapparai,Census Town,Erode,31,980,78,0.55,21,50,63,4.0,530
O' Valley,Town Panchayat,The Nilgiris,32,1360,80,0.63,30,45,64,4.1,550
Overi,Census Town,Tirunelveli,33,1190,79,0.65,26,50,61,4.2,520
Pachchal,Census Town,Vellore,32,1010,78,0.58,23,50,63,4.3,535
Pacode,Town Panchayat,Kanniyakumari,31,1350,81,0.72,29,55,64,4.1,530
Padaiveedu,Town Panchayat,Namakkal,33,980,75,0.60,25,50,61,4.1,540
Padandal,Census Town,Virudhunagar,32,1050,77,0.65,28,45,63,4.2,545
Padappai,Census Town,Kanchipuram,33,1120,76,0.55,30,50,64,4.3,530
Padianallur,Census Town,Thiruvallur,32,1180,74,0.62,22,55,63,4.0,550
Padikkasu vaithanpatti,Census Town,Virudhunagar,33,990,78,0.60,27,50,63,4.2,530
Padirikuppam,Census Town,Cuddalore,32,980,75,0.66,21,45,64,4.3,540
Padmanabhapuram,Municipality,Kanniyakumari,32,1400,79,0.68,29,50,61,4.1,545
Painkulam,Census Town,Kanniyakumari,33,1130,80,0.64,25,55,63,4.3,530
Paiyur,Census Town,Tiruvannamalai,32,1070,81,0.62,30,50,63,4.2,540
Palaganangudy,Census Town,Tiruchirappalli,33,1050,76,0.63,28,45,61,4.0,545
Palakkodu,Town Panchayat,Dharmapuri,32,1020,78,0.59,22,50,64,4.1,540
Palamedu,Town Panchayat,Madurai,33,1060,79,0.57,27,55,63,4.2,550
Palangarai,Census Town,Tiruppur,32,1010,76,0.60,24,50,63,4.3,530
Palani,Municipality,Dindigul,33,1150,78,0.67,30,45,63,4.4,535
Palani Chettipatti,Town Panchayat,Theni,32,1090,80,0.55,21,50,64,4.1,540
Palappallam,Town Panchayat,Kanniyakumari,33,1030,79,0.62,29,55,63,4.2,545
Palavakkam,Census Town,Kanchipuram,32,1220,77,0.73,26,50,61,4.2,530
Palavansathu,Census Town,Vellore,33,980,75,0.50,25,45,64,4.2,520
Palayam,Town Panchayat,Dindigul,32,970,78,0.57,28,50,17,4.3,550
Palayampatti,Census Town,Virudhunagar,33,990,80,0.61,30,55,63,4.4,540
Palladam,Municipality,Tiruppur,32,1070,82,0.66,22,50,63,4.2,560
Pallanthurai,Census Town,Kanniyakumari,33,970,79,0.63,27,45,64,4.3,535
Pallapalayam,Town Panchayat,Erode,32,1020,81,0.58,24,50,64,4.1,530
